--- DATEN DER WETTERSTATION ---
ID ;101 
Kuerzel der Wetterdienstes ;rzk 
ID innerhalb des Wetterdienstes ;7 
Staat ;DE 
Bundesland ; 
Gemeinde ; 
PLZ ;23847 
Ort ;Kastorf- 
Schreibweise ; 
Geografische Länge (Grad dezimal) ;10.5701 
Geografische Breite (Grad dezimal) ;53.7488 
Höhe über dem Meer (Meter) ;0 
Bemerkung ; 
Letzte Datensatzänderung (YYYYMMDDhhmmss) ;2019-05-09 11:02:19 
-------------------------------
 
id;tag;zeit;zr;typ;l_temp_30;l_temp_200;taupunkt;l_feucht_30;l_feucht_200;b_temp_5;b_temp_20;ns;benetzung;verdunstung
6222981;2021-01-01;0;s;m;1.3;1.7;;100;96;3.3;3.7;0;6;
6222982;2021-01-01;1;s;m;1.2;1.4;;100;97;3.3;3.8;0;6;
6222983;2021-01-01;2;s;m;1.1;1.4;;100;96;3.2;3.7;0;6;
6222984;2021-01-01;3;s;m;1.2;1.5;;100;95;3.2;3.7;0;6;
6222985;2021-01-01;4;s;m;1.3;1.6;;100;95;3.1;3.6;0;6;
6222986;2021-01-01;5;s;m;1.4;1.6;;100;95;3.2;3.7;0;6;
6222987;2021-01-01;6;s;m;1.5;1.6;;100;96;3.1;3.6;0;6;
6222988;2021-01-01;7;s;m;1.5;1.5;;100;97;3.2;3.7;0;6;
6222989;2021-01-01;8;s;m;1.5;1.5;;100;97;3.1;3.6;0;6;
6222990;2021-01-01;9;s;m;1.5;1.6;;100;96;3.2;3.7;0;6;
6222991;2021-01-01;10;s;m;1.5;1.5;;100;97;3.2;3.6;0;6;
6222992;2021-01-01;11;s;m;1.3;1.4;;100;97;3.2;3.7;0;6;
6223132;2021-01-01;12;s;m;1.2;1.3;;100;95;3.1;3.6;0;6;
6223133;2021-01-01;13;s;m;1.6;1.6;;100;94;3.2;3.7;0;6;
6223134;2021-01-01;14;s;m;2.2;1.9;;100;94;3.2;3.6;0;6;
6223135;2021-01-01;15;s;m;2.8;2.3;;100;94;3.3;3.7;0;6;
6223136;2021-01-01;16;s;m;3.6;2.9;;100;93;3.4;3.7;0;6;
6223137;2021-01-01;17;s;m;2.9;2.5;;100;93;3.5;3.8;0;6;
6223138;2021-01-01;18;s;m;2.4;2.5;;100;95;3.4;3.8;0;6;
6223139;2021-01-01;19;s;m;2.1;2.4;;100;97;3.5;3.8;0;6;
6223140;2021-01-01;20;s;m;2.2;2.4;;100;98;3.5;3.9;0.1;6;
6223141;2021-01-01;21;s;m;2.2;2.3;;100;99;3.4;3.8;0.1;6;
6223142;2021-01-01;22;s;m;2.3;2.4;;100;100;3.5;3.9;0.1;6;
6223143;2021-01-01;23;s;m;2.4;2.5;;100;100;3.4;3.8;0.5;6;
6223144;2021-01-02;0;s;m;2.5;2.6;;100;100;3.5;3.9;0.4;6;
6223145;2021-01-02;1;s;m;2.5;2.7;;100;100;3.4;3.8;0.1;6;
6223146;2021-01-02;2;s;m;2.5;2.7;;100;100;3.5;3.9;0;6;
6223147;2021-01-02;3;s;m;2.6;2.8;;100;100;3.5;3.9;0.1;6;
6223148;2021-01-02;4;s;m;2.7;2.9;;100;100;3.6;3.9;0.1;6;
6223149;2021-01-02;5;s;m;2.6;2.8;;100;100;3.5;3.9;0;6;
6223150;2021-01-02;6;s;m;2.4;2.7;;100;100;3.6;4;0;6;
6223151;2021-01-02;7;s;m;2;2.3;;100;100;3.5;3.9;0;6;
6223152;2021-01-02;8;s;m;2.2;2.4;;100;100;3.6;4;0.1;6;
6223153;2021-01-02;9;s;m;2.3;2.4;;100;100;3.5;3.9;0;6;
6223154;2021-01-02;10;s;m;2.4;2.5;;100;100;3.6;4;0.2;6;
6223155;2021-01-02;11;s;m;2.5;2.6;;100;100;3.5;3.9;0;6;
6223156;2021-01-02;12;s;m;2.7;2.7;;100;100;3.6;4;0;6;
6223296;2021-01-02;13;s;m;3;2.9;;100;100;3.6;4;0;6;
6223297;2021-01-02;14;s;m;3.1;2.9;;100;100;3.7;4;0;6;
6223298;2021-01-02;15;s;m;3.2;2.9;;100;100;3.7;4;0.1;6;
6223299;2021-01-02;16;s;m;3.3;3;;100;100;3.7;4.1;0;6;
6223300;2021-01-02;17;s;m;3.6;3.3;;100;100;3.8;4.1;0;6;
6223301;2021-01-02;18;s;m;3.2;3.1;;100;100;3.8;4.1;0;6;
6223302;2021-01-02;19;s;m;2.9;3.1;;100;100;3.9;4.2;0;6;
6223303;2021-01-02;20;s;m;2.8;3;;100;100;3.8;4.1;0;6;
6223304;2021-01-02;21;s;m;2.7;2.9;;100;100;3.9;4.2;0;6;
6223305;2021-01-02;22;s;m;2.6;2.8;;100;100;3.8;4.1;0;6;
6223306;2021-01-02;23;s;m;2.5;2.7;;100;100;3.8;4.2;0;6;
6223307;2021-01-03;0;s;m;2.4;2.6;;100;100;3.7;4.1;0;6;
6223308;2021-01-03;1;s;m;2.1;2.4;;100;100;3.8;4.2;0;6;
6223309;2021-01-03;2;s;m;1.8;2.1;;100;100;3.7;4.1;0;6;
6223310;2021-01-03;3;s;m;2;2.2;;100;100;3.7;4.2;0;6;
6223311;2021-01-03;4;s;m;2.1;2.2;;100;100;3.6;4.1;0.1;6;
6223312;2021-01-03;5;s;m;2.2;2.3;;100;100;3.7;4.1;0;6;
6223313;2021-01-03;6;s;m;2.1;2.3;;100;100;3.6;4;0;6;
6223314;2021-01-03;7;s;m;2.1;2.2;;100;100;3.7;4.1;0;6;
6223315;2021-01-03;8;s;m;1.9;2.1;;100;100;3.6;4;0;6;
6223316;2021-01-03;9;s;m;1.7;2;;100;100;3.6;4.1;0;6;
6223317;2021-01-03;10;s;m;1.5;1.9;;100;100;3.5;4;0;6;
6223318;2021-01-03;11;s;m;1.4;1.9;;100;97;3.5;4;0;6;
6223456;2021-01-03;12;s;m;1.5;2;;100;93;3.4;3.9;0;6;
6223457;2021-01-03;13;s;m;2;2.4;;100;89;3.5;3.9;0;6;
6223458;2021-01-03;14;s;m;2.7;3;;100;84;3.5;4;0;6;
6223459;2021-01-03;15;s;m;2.9;3.3;;100;82;3.5;3.9;0;6;
6223460;2021-01-03;16;s;m;2.7;3.1;;100;81;3.6;4;0;6;
6223461;2021-01-03;17;s;m;2.4;2.8;;100;78;3.5;3.9;0;6;
6223462;2021-01-03;18;s;m;2.3;2.8;;100;79;3.5;4;0;6;
6223463;2021-01-03;19;s;m;2.1;2.8;;100;79;3.4;3.9;0;6;
6223464;2021-01-03;20;s;m;2.6;3.2;;100;79;3.5;3.9;0;6;
6223465;2021-01-03;21;s;m;2.8;3.4;;100;78;3.4;3.9;0;6;
6223466;2021-01-03;22;s;m;2.8;3.3;;100;76;3.4;3.9;0;6;
6223467;2021-01-03;23;s;m;2.7;3.3;;100;77;3.3;3.8;0;5;
6223468;2021-01-04;0;s;m;2.6;3.2;;100;78;3.4;3.8;0;5;
6223469;2021-01-04;1;s;m;2.5;3.1;;100;76;3.3;3.8;0;5;
6223470;2021-01-04;2;s;m;2.5;3.1;;100;76;3.3;3.8;0;5;
6223471;2021-01-04;3;s;m;2.4;3.1;;100;77;3.2;3.7;0;5;
6223472;2021-01-04;4;s;m;2.9;3.5;;100;74;3.3;3.8;0;5;
6223473;2021-01-04;5;s;m;2.9;3.4;;100;74;3.2;3.7;0;5;
6223474;2021-01-04;6;s;m;2.6;3.2;;100;79;3.3;3.8;0;5;
6223475;2021-01-04;7;s;m;1.8;2.8;;100;82;3.2;3.7;0;5;
6223476;2021-01-04;8;s;m;2.1;2.6;;100;87;3.2;3.7;0.2;5;
6223477;2021-01-04;9;s;m;1.6;2.2;;100;92;3.2;3.7;0.1;5;
6223478;2021-01-04;10;s;m;1.4;2;;100;94;3.2;3.7;0;5;
6223479;2021-01-04;11;s;m;1.3;1.2;;100;97;3.2;3.7;0;5;
6223480;2021-01-04;12;s;m;1.4;1.2;;100;98;3.1;3.6;0.1;5;
6223481;2021-01-04;13;s;m;1.8;1.5;;100;99;3.2;3.7;0;6;
6223621;2021-01-04;14;s;m;2.2;2;;100;98;3.2;3.7;0;6;
6223622;2021-01-04;15;s;m;2.1;1.8;;100;98;3.3;3.8;0;6;
6223623;2021-01-04;16;s;m;2;1.9;;100;98;3.3;3.7;0;6;
6223624;2021-01-04;17;s;m;2.2;2.1;;100;98;3.4;3.8;0;6;
6223625;2021-01-04;18;s;m;1.8;1.9;;100;98;3.3;3.7;0.2;6;
6223626;2021-01-04;19;s;m;1.8;2.1;;100;98;3.4;3.8;0;6;
6223627;2021-01-04;20;s;m;1.8;2.2;;100;97;3.3;3.8;0.2;6;
6223628;2021-01-04;21;s;m;1.7;2.2;;100;94;3.4;3.8;0;6;
6223629;2021-01-04;22;s;m;1.6;2.1;;100;94;3.3;3.7;0.1;6;
6223630;2021-01-04;23;s;m;1.5;1.9;;100;95;3.3;3.8;0;6;
6223631;2021-01-05;0;s;m;1.6;2.1;;100;95;3.2;3.7;0;6;
6223632;2021-01-05;1;s;m;1.7;2.2;;100;94;3.3;3.8;0;6;
6223633;2021-01-05;2;s;m;1.7;2.2;;100;95;3.2;3.7;0;6;
6223634;2021-01-05;3;s;m;1.7;2.2;;100;94;3.3;3.8;0;6;
6223635;2021-01-05;4;s;m;1.6;2;;100;95;3.2;3.7;0.1;6;
6223636;2021-01-05;5;s;m;1.5;1.8;;100;96;3.3;3.7;0;6;
6223637;2021-01-05;6;s;m;1.5;2;;100;96;3.2;3.7;0.1;6;
6223638;2021-01-05;7;s;m;1.7;2.1;;100;96;3.2;3.7;0;6;
6223639;2021-01-05;8;s;m;1.8;2.2;;100;96;3.3;3.7;0;6;
6223640;2021-01-05;9;s;m;1.8;2.2;;100;96;3.2;3.6;0;6;
6223641;2021-01-05;10;s;m;1.9;2.2;;100;96;3.3;3.7;0;6;
6223642;2021-01-05;11;s;m;1.9;2.2;;100;98;3.2;3.6;0.1;6;
6223643;2021-01-05;12;s;m;2.1;2.4;;100;98;3.3;3.7;0;6;
6223782;2021-01-05;13;s;m;2.3;2.7;;100;97;3.2;3.7;0;6;
6223783;2021-01-05;14;s;m;2.5;2.9;;100;96;3.3;3.8;0;6;
6223784;2021-01-05;15;s;m;2.8;2.9;;100;96;3.3;3.7;0.1;6;
6223785;2021-01-05;16;s;m;2.9;3;;100;97;3.4;3.8;0;6;
6223786;2021-01-05;17;s;m;2.7;3.2;;100;95;3.4;3.8;0.1;6;
6223787;2021-01-05;18;s;m;2.7;3.2;;100;94;3.5;3.9;0;6;
6223788;2021-01-05;19;s;m;2.4;2.8;;100;95;3.4;3.8;0.3;6;
6223789;2021-01-05;20;s;m;1.8;1.9;;100;97;3.5;3.9;0;6;
6223790;2021-01-05;21;s;m;1.6;1.8;;100;98;3.4;3.8;0;6;
6223791;2021-01-05;22;s;m;1.7;1.9;;100;98;3.4;3.9;0;6;
6223792;2021-01-05;23;s;m;1.8;1.9;;100;99;3.3;3.8;0;6;
6223793;2021-01-06;0;s;m;1.9;2;;100;99;3.4;3.8;0;6;
6223794;2021-01-06;1;s;m;1.7;1.9;;100;98;3.3;3.8;0;6;
6223795;2021-01-06;2;s;m;1.2;1.7;;100;94;3.4;3.8;0;6;
6223796;2021-01-06;3;s;m;1.1;1.6;;100;92;3.3;3.7;0;6;
6223797;2021-01-06;4;s;m;0.8;1.2;;100;91;3.2;3.7;0;6;
6223798;2021-01-06;5;s;m;0.5;0.8;;100;92;3.2;3.8;0;6;
6223799;2021-01-06;6;s;m;0.3;0.8;;100;93;3.1;3.7;0;6;
6223800;2021-01-06;7;s;m;0.3;0.8;;100;90;3.1;3.7;0;6;
6223801;2021-01-06;8;s;m;0.3;0.8;;100;91;3;3.6;0;6;
6223802;2021-01-06;9;s;m;0.1;0.4;;100;93;3;3.6;0;6;
6223803;2021-01-06;10;s;m;-0.1;0;;100;97;2.9;3.5;0;6;
6223804;2021-01-06;11;s;m;-0.3;-0.1;;100;99;2.8;3.4;0;6;
6223805;2021-01-06;12;s;m;-0.3;-0.1;;100;100;2.7;3.3;0.1;6;
6223806;2021-01-06;13;s;m;-0.1;0;;100;100;2.6;3.3;0;6;
6223944;2021-01-06;14;s;m;0;0;;100;100;2.5;3.2;0;6;
6223945;2021-01-06;15;s;m;0.1;0;;100;100;2.6;3.2;0;6;
6223946;2021-01-06;16;s;m;0.5;0.2;;100;100;2.5;3.1;0;6;
6223947;2021-01-06;17;s;m;0.6;0.4;;100;100;2.6;3.2;0;6;
6223948;2021-01-06;18;s;m;0.3;0.3;;100;100;2.5;3.1;0.1;6;
6223949;2021-01-06;19;s;m;0.2;0.3;;100;100;2.6;3.2;0;6;
6223950;2021-01-06;20;s;m;0;0;;100;100;2.5;3.1;0;6;
6223951;2021-01-06;21;s;m;-0.3;-0.1;;100;100;2.4;3.1;0;6;
6223952;2021-01-06;22;s;m;-0.2;-0.1;;100;100;2.3;3;0;6;
6223953;2021-01-06;23;s;m;-0.3;-0.1;;100;100;2.3;3;0;6;
6223954;2021-01-07;0;s;m;-0.3;-0.1;;100;100;2.2;2.9;0;6;
6223955;2021-01-07;1;s;m;-0.3;-0.2;;100;100;2.2;2.9;0;6;
6223956;2021-01-07;2;s;m;-0.4;-0.2;;100;100;2.2;2.9;0;6;
6223957;2021-01-07;3;s;m;-0.4;-0.2;;100;100;2.1;2.8;0;6;
6223958;2021-01-07;4;s;m;-0.4;-0.2;;100;100;2.2;2.8;0;6;
6223959;2021-01-07;5;s;m;-0.4;-0.2;;100;100;2.1;2.7;0.1;6;
6223960;2021-01-07;6;s;m;-0.4;-0.2;;100;100;2.1;2.8;0;6;
6223961;2021-01-07;7;s;m;-0.4;-0.2;;100;100;2;2.7;0;6;
6223962;2021-01-07;8;s;m;-0.4;-0.2;;100;100;2.1;2.7;0;6;
6223963;2021-01-07;9;s;m;-0.4;-0.3;;100;100;2;2.7;0;6;
6223964;2021-01-07;10;s;m;-0.4;-0.2;;100;100;2.1;2.7;0;6;
6223965;2021-01-07;11;s;m;-0.3;-0.3;;100;100;2;2.6;0;6;
6223966;2021-01-07;12;s;m;-0.3;-0.2;;100;100;2.1;2.7;0;6;
6224103;2021-01-07;13;s;m;-0.2;-0.1;;100;100;2;2.6;0;6;
6224104;2021-01-07;14;s;m;0;0;;100;100;2.1;2.7;0;6;
6224105;2021-01-07;15;s;m;0;0;;100;100;2;2.6;0;6;
6224106;2021-01-07;16;s;m;0;0;;100;100;2.1;2.7;0;6;
6224107;2021-01-07;17;s;m;0;0;;100;100;2.1;2.6;0;6;
6224108;2021-01-07;18;s;m;0;0;;100;100;2.2;2.7;0;6;
